Protein.Ids	Genes	STEM	ND	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
P15170	GSPT1	36286	39673	0.9146233	9.87E-04
P54619	PRKAG1	26595	31322	0.8490789	9.88E-04
Q99426	TBCB	87514	74843	1.169289	9.88E-04
Q86WA8	LONP2	5529	4326	1.278172	9.89E-04
Q9NUQ3	TXLNG	6135	7524	0.8153778	9.93E-04
P28715	ERCC5	2742	3356	0.8170684	9.96E-04
Q86SE5	RALYL	95105	71921	1.32235	1.00E-03
Q9BQ70	TCF25	10244	8767	1.1684965	1.00E-03
P43007	SLC1A4	5469	7528	0.726429	1.01E-03
A6NLJ0	C2CD4B	1770	12691	0.1394749	1.01E-03
P33121	ACSL1	37100	51991	0.7135805	1.01E-03
Q92564	DCUN1D4	2571	3259	0.7888923	1.01E-03
Q92844	TANK	5422	6554	0.8274094	1.02E-03
Q96SB8	SMC6	1820	1477	1.2317342	1.02E-03
P05141	SLC25A5	283937	235406	1.2061583	1.02E-03
Q9ULG6	CCPG1	4649	6361	0.7309054	1.02E-03
Q15067	ACOX1	27739	21557	1.2867805	1.02E-03
P19367	HK1	55766	29541	1.8877166	1.04E-03
P43487	RANBP1	63493	48767	1.3019836	1.04E-03
Q5TEU4	NDUFAF5	5346	6704	0.7974647	1.04E-03
Q01130	SRSF2	230089	185049	1.2433958	1.04E-03
Q6UWL6	KIRREL2	4686	3253	1.4403823	1.05E-03
P50150	GNG4	607	1254	0.4838132	1.05E-03
Q8IZY2	ABCA7	1053	809	1.3024266	1.05E-03
Q9BY42	RTF2	3612	4390	0.8229286	1.05E-03
Q9Y6V7	DDX49	6659	5163	1.2896093	1.05E-03
Q08174	PCDH1	4985	6581	0.7575113	1.05E-03
Q9NRG1	PRTFDC1	12315	10264	1.1998324	1.06E-03
Q9NW08	POLR3B	4809	3931	1.2234326	1.06E-03
Q9Y5B8	NME7	11750	9977	1.1776692	1.06E-03
P23508	MCC	20025	24791	0.8077762	1.07E-03
Q6ZN55	ZNF574	3317	2626	1.263325	1.07E-03
O14672	ADAM10	26521	30363	0.8734547	1.08E-03
Q7L5Y9	MAEA	2610	3076	0.8483558	1.08E-03
O94782	USP1	551	1036	0.5320006	1.09E-03
O60925	PFDN1	24297	19059	1.2748394	1.10E-03
Q96EH3	MALSU1	1103	1533	0.7196231	1.10E-03
Q9ULH4	LRFN2	1825	2869	0.6361058	1.10E-03
Q9UIF9	BAZ2A	4912	4075	1.2054132	1.10E-03
Q9NVF7	FBXO28	7584	10095	0.7512114	1.11E-03
Q96FC7	PHYHIPL	9543	12545	0.7607014	1.11E-03
Q9Y5Y5	PEX16	6876	8823	0.779345	1.11E-03
P15086	CPB1	176114	541259	0.325379	1.11E-03
Q9UJU6	DBNL	57409	50451	1.1379192	1.11E-03
Q9Y2B5	VPS9D1	478	357	1.3395689	1.11E-03
Q8NAV1	PRPF38A	5167	3527	1.46501	1.12E-03
O43292	GPAA1	15620	12915	1.209436	1.13E-03
P13284	IFI30	6267	9969	0.6286121	1.14E-03
Q7Z388	DPY19L4	2092	2964	0.7057853	1.15E-03
Q9UPN7	PPP6R1	5007	5935	0.8435179	1.15E-03
O43181	NDUFS4	9809	12660	0.7748102	1.15E-03
Q04637	EIF4G1	72785	81670	0.8912061	1.15E-03
Q8NB37	GATD1	15248	17849	0.8542759	1.15E-03
P13807	GYS1	15182	9505	1.5973021	1.15E-03
Q9P215	POGK	2089	1625	1.2854411	1.15E-03
O95292	VAPB	55352	61816	0.8954317	1.16E-03
Q96J87	CELF6	3173	4203	0.7548245	1.17E-03
Q93096	PTP4A1	4342	3522	1.2329181	1.17E-03
P36404	ARL2.00	20892	17983	1.1618001	1.18E-03
Q96HR9	REEP6	8844	6725	1.3151375	1.18E-03
Q8WW22	DNAJA4	6569	10587	0.6205016	1.18E-03
Q9UNI6	DUSP12	6179	5126	1.2055068	1.19E-03
O95476	CTDNEP1	3960	3165	1.2512272	1.19E-03
P17405	SMPD1	8016	11302	0.709226	1.21E-03
Q9NXV6	CDKN2AIP	14487	12738	1.1373009	1.21E-03
P15941	MUC1	2959	8191	0.3613043	1.21E-03
P08648	ITGA5	6875	12168	0.5650256	1.22E-03
Q8TEB9	RHBDD1	226	489	0.4620009	1.23E-03
Q9NZM3	ITSN2	8840	9951	0.8883416	1.23E-03
O00767	SCD	14062	11828	1.1888696	1.24E-03
Q6PJI9	WDR59	7673	9490	0.8085273	1.25E-03
Q86WU2	LDHD	2538	4665	0.5440132	1.26E-03
O60333	KIF1B	1092	905	1.205818	1.27E-03
Q07352	ZFP36L1	5932	11216	0.5288456	1.28E-03
Q9P260	RELCH	6558	5913	1.109237	1.28E-03
P84157	MXRA7	7505	13245	0.566623	1.29E-03
Q7L576	CYFIP1	43769	48408	0.9041706	1.30E-03
A8CG34	POM121C	9640	11210	0.8599132	1.31E-03
Q9Y3D2	MSRB2	4348	5662	0.7678965	1.31E-03
Q6NUK1	SLC25A24	76734	99257	0.7730872	1.31E-03
Q9NZJ5	EIF2AK3	3219	3891	0.8272551	1.31E-03
Q9Y3Y2	CHTOP	33276	26874	1.238204	1.33E-03
A2RTX5	TARS3	5283	6427	0.8219457	1.33E-03
Q9BZ23	PANK2	4438	5331	0.8324588	1.34E-03
O14558	HSPB6	10111	29838	0.338863	1.34E-03
Q8NI08	NCOA7	1412	2135	0.661611	1.34E-03
Q92576	PHF3	4893	4123	1.1866494	1.36E-03
Q9NWS1	PARPBP	9497	14188	0.6693651	1.37E-03
Q7Z6G8	ANKS1B	34254	26641	1.2857689	1.37E-03
Q32M88	PGGHG	2058	1207	1.7055254	1.37E-03
Q9Y3A2	UTP11	3525	2727	1.2924902	1.37E-03
Q712K3	UBE2R2	21528	19053	1.1298783	1.37E-03
Q9BYB0	SHANK3	9702	15486	0.626498	1.38E-03
Q96RQ1	ERGIC2	10450	12302	0.8494885	1.38E-03
Q9H078	CLPB	19917	17666	1.1274224	1.39E-03
P49711	CTCF	7037	5569	1.2637745	1.39E-03
Q6NT16	SLC18B1	5105	4268	1.1961056	1.40E-03
Q86YB8	ERO1B	160892	231501	0.6949928	1.41E-03
Q9Y305	ACOT9	17904	24953	0.7174775	1.41E-03
O95714	HERC2	5548	4666	1.1890468	1.43E-03
O75385	ULK1	1444	1199	1.2042672	1.44E-03
Q969S2	NEIL2	2649	4545	0.5828174	1.44E-03
Q96T58	SPEN	5529	5041	1.0966862	1.44E-03
O60704	TPST2	4291	3271	1.311863	1.44E-03
Q99496	RNF2	6877	8289	0.8295872	1.44E-03
Q9H7Z7	PTGES2	23057	28721	0.8027979	1.44E-03
Q7Z412	PEX26	7973	5227	1.5254956	1.44E-03
P49720	PSMB3	25915	29855	0.8680261	1.45E-03
P10606	COX5B	52665	71811	0.733385	1.46E-03
Q8WWX9	SELENOM	242	1151	0.2100219	1.46E-03
P29992	GNA11	57093	63820	0.894598	1.47E-03
P30041	PRDX6	291622	341609	0.8536716	1.47E-03
P12429	ANXA3	35881	65040	0.5516743	1.47E-03
O60268	KIAA0513	4071	3194	1.274481	1.48E-03
Q9BYE7	PCGF6	592	406	1.4576658	1.48E-03
P53805	RCAN1	3103	4762	0.6517416	1.48E-03
Q9UNN8	PROCR	8030	13338	0.6020514	1.49E-03
O75394	MRPL33	3620	4388	0.8249403	1.49E-03
P14735	IDE	26879	23067	1.1652778	1.49E-03
O00411	POLRMT	2843	3564	0.7976698	1.50E-03
O95900	TRUB2	2004	2866	0.6992137	1.50E-03
Q10471	GALNT2	30052	37314	0.8054005	1.51E-03
Q8N3R9	MPP5	3343	4312	0.7753458	1.51E-03
P25685	DNAJB1	30562	36795	0.8305889	1.51E-03
Q9UN36	NDRG2	6036	9670	0.6241874	1.51E-03
Q96MF6	COQ10A	8333	4941	1.6863538	1.52E-03
P20929	NEB	3960	5412	0.731674	1.52E-03
Q68DQ2	CRYBG3	20126	24634	0.8169796	1.53E-03
Q9H9B4	SFXN1	138459	159193	0.8697561	1.53E-03
Q9H3Y8	PPDPF	345	580	0.5950436	1.54E-03
Q8IUZ5	PHYKPL	6096	7798	0.7817606	1.54E-03
O60563	CCNT1	2255	2934	0.7688229	1.55E-03
Q9NYH9	UTP6	5706	5145	1.1090545	1.56E-03
Q9NPA0	EMC7	15596	19123	0.8155396	1.56E-03
Q14687	GSE1	4664	3854	1.2102965	1.56E-03
O60238	BNIP3L	4454	3219	1.3836148	1.57E-03
Q14980	NUMA1	51678	41926	1.2325991	1.57E-03
O95402	MED26	4687	4087	1.1467196	1.58E-03
Q6ZWL3	CYP4V2	1234	3663	0.3367089	1.59E-03
Q9Y3E7	CHMP3	19921	23184	0.8592784	1.59E-03
P25440	BRD2	5738	6650	0.8627809	1.60E-03
Q9Y4D8	HECTD4	9217	7648	1.2052058	1.61E-03
Q5TBB1	RNASEH2B	3270	2489	1.3138303	1.62E-03
Q13796	SHROOM2	7181	5483	1.3097132	1.62E-03
Q8IVI9	NOSTRIN	2710	3903	0.6943496	1.63E-03
P00488	F13A1	2485	10295	0.241371	1.64E-03
Q5PRF9	SAMD4B	4684	5285	0.886247	1.64E-03
Q9BTE6	AARSD1	18548	16358	1.133866	1.64E-03
Q15041	ARL6IP1	14878	19101	0.7789031	1.64E-03
P18283	GPX2	2783	4296	0.6478201	1.64E-03
Q9H773	DCTPP1	5188	2686	1.9315509	1.65E-03
Q8TBR7	TLCD3A	5383	4323	1.2450456	1.65E-03
Q9UJX4	ANAPC5	7670	6795	1.1287017	1.66E-03
Q9UNH7	SNX6	37071	35619	1.0407602	1.66E-03
Q96QD9	FYTTD1	11097	12522	0.8862564	1.67E-03
Q86X76	NIT1	23667	27382	0.864323	1.67E-03
P22003	BMP5	898	2810	0.3195154	1.67E-03
P21953	BCKDHB	3086	4017	0.7682453	1.67E-03
P51648	ALDH3A2	32492	40500	0.8022759	1.68E-03
P52306	RAP1GDS1	27125	24406	1.1114176	1.68E-03
O14893	GEMIN2	5620	4571	1.2293951	1.68E-03
Q86VZ4	LRP11	16662	11759	1.416945	1.68E-03
O75069	TMCC2	551	1034	0.5324706	1.69E-03
Q9P2X0	DPM3	27602	35933	0.7681355	1.69E-03
Q16394	EXT1	3063	4178	0.7332278	1.69E-03
Q658P3	STEAP3	3887	9485	0.4098294	1.70E-03
Q9Y399	MRPS2	15807	18068	0.8748594	1.71E-03
Q9Y3Q0	NAALAD2	2504	1514	1.6542346	1.72E-03
Q9HAT2	SIAE	18051	14212	1.2701391	1.72E-03
Q9H082	RAB33B	13168	15613	0.8433724	1.73E-03
O95985	TOP3B	4939	4419	1.1175081	1.73E-03
Q92665	MRPS31	14976	17879	0.837658	1.73E-03
Q9C0C4	SEMA4C	2134	1464	1.4572974	1.75E-03
P56705	WNT4	2254	6366	0.3539811	1.75E-03
Q9H0R6	QRSL1	9280	8323	1.1150755	1.75E-03
Q9Y2P8	RCL1	7071	5859	1.2069303	1.77E-03
Q9UPN4	CEP131	2163	1612	1.3418666	1.77E-03
Q9Y6M4	CSNK1G3	3340	2756	1.2122709	1.78E-03
Q9BQA9	CYBC1	14264	12153	1.1737339	1.79E-03
Q86TU7	SETD3	10059	11269	0.8925953	1.79E-03
O43491	EPB41L2	18417	27899	0.6601259	1.79E-03
Q96HI0	SENP5	263	166	1.585369	1.79E-03
Q8N371	KDM8	2029	1627	1.2468628	1.79E-03
Q9NYX4	CALY	2794	1099	2.5428082	1.80E-03
Q96RT7	TUBGCP6	3267	4097	0.7973359	1.81E-03
Q9BTY2	FUCA2	19752	11705	1.6875154	1.81E-03
Q9ULC4	MCTS1	29251	27040	1.0817479	1.81E-03
P63261	ACTG1	9772	19626	0.4979088	1.82E-03
Q9NYB9	ABI2	10056	8130	1.2369686	1.82E-03
Q9UPU7	TBC1D2B	3469	5640	0.6150146	1.83E-03
Q9P2K8	EIF2AK4	3973	3347	1.1867748	1.83E-03
Q9BSQ5	CCM2	2803	3434	0.8161104	1.83E-03
Q13163	MAP2K5	1671	1353	1.234805	1.83E-03
O75494	SRSF10	37450	32209	1.1627149	1.83E-03
Q70SY1	CREB3L2	322	520	0.6188095	1.84E-03
Q15287	RNPS1	36314	29760	1.2202113	1.84E-03
P19388	POLR2E	21492	19226	1.1178196	1.84E-03
Q86YT6	MIB1	3001	3673	0.8169816	1.85E-03
A8MWD9	SNRPGP15	132952	98759	1.3462206	1.85E-03
Q9BT43	POLR3GL	625	477	1.3095388	1.85E-03
Q9UKL6	PCTP	2802	2196	1.2763699	1.87E-03
P37287	PIGA	715	1624	0.4403905	1.88E-03
P22694	PRKACB	9647	11618	0.8303966	1.89E-03
Q24JP5	TMEM132A	2485	1870	1.3290081	1.89E-03
P56537	EIF6	76469	84046	0.9098484	1.90E-03
Q96RL1	UIMC1	1182	1576	0.7498264	1.90E-03
Q7Z6L1	TECPR1	6260	7627	0.8207739	1.91E-03
Q96IU2	ZBED3	3254	4429	0.7348422	1.91E-03
Q9UH65	SWAP70	12220	14113	0.8658864	1.92E-03
P35790	CHKA	4190	3398	1.2330846	1.92E-03
Q8NEG4	FAM83F	1441	2353	0.6126801	1.93E-03
P55795	HNRNPH2	50363	43899	1.1472401	1.94E-03
O60256	PRPSAP2	65769	73126	0.8994006	1.94E-03
Q7Z6J2	TAMALIN	1014	1627	0.6232529	1.95E-03
P25054	APC	3161	2655	1.1909181	1.96E-03
Q6NSJ2	PHLDB3	4834	3497	1.3822997	1.96E-03
Q93034	CUL5	39218	41818	0.9378174	1.97E-03
Q14964	RAB39A	4330	5749	0.7531869	1.96E-03
Q8WYQ5	DGCR8	2091	1758	1.1896924	1.97E-03
Q15542	TAF5	4045	3338	1.2116114	1.97E-03
P53365	ARFIP2	19147	23059	0.8303406	1.98E-03
Q9UFW8	CGGBP1	7911	6891	1.1479468	1.98E-03
P22681	CBL	2099	1673	1.2546536	1.99E-03
Q96S19	METTL26	9443	10696	0.8828415	1.99E-03
P20340	RAB6A	88265	106013	0.8325866	2.00E-03
Q9UH62	ARMCX3	30248	25882	1.1687192	2.01E-03
P50443	SLC26A2	1795	2408	0.7454654	2.01E-03
P21810	BGN	3744	9449	0.396287	2.01E-03
Q9BZ72	PITPNM2	1921	2542	0.755799	2.01E-03
Q8WWH5	TRUB1	10210	11583	0.8814581	2.02E-03
O00483	NDUFA4	63720	49087	1.2981049	2.02E-03
Q9UJ41	RABGEF1	9123	10128	0.900828	2.03E-03
Q9H8M5	CNNM2	559	464	1.2038972	2.03E-03
P42766	RPL35	146565	183194	0.8000536	2.03E-03
Q13454	TUSC3	27846	23637	1.1780972	2.03E-03
O15381	NVL	1903	1427	1.3338074	2.03E-03
Q9UER7	DAXX	2441	1937	1.2603404	2.04E-03
O43761	SYNGR3	11208	15833	0.7078998	2.07E-03
O00469	PLOD2	14438	24820	0.5817002	2.07E-03
Q15291	RBBP5	13406	12234	1.0958049	2.08E-03
P78383	SLC35B1	6631	9536	0.6954309	2.08E-03
Q9UNM6	PSMD13	54995	50745	1.0837604	2.08E-03
Q9GZM5	YIPF3	15370	18405	0.8351068	2.08E-03
P15735	PHKG2	16433	14182	1.1587112	2.09E-03
Q8WTW4	NPRL2	3769	4943	0.7624325	2.10E-03
Q7Z7H8	MRPL10	13764	16336	0.8425699	2.10E-03
Q9BZL1	UBL5	36090	28640	1.2601377	2.11E-03
O60547	GMDS	26022	30728	0.8468545	2.12E-03
Q96Q15	SMG1	5326	4521	1.1780999	2.12E-03
Q14CZ7	FASTKD3	2277	3421	0.6656906	2.12E-03
P52565	ARHGDIA	151433	180810	0.8375235	2.13E-03
Q7Z4G4	TRMT11	4222	5025	0.8402742	2.14E-03
Q70CQ2	USP34	2749	2159	1.273053	2.15E-03
Q9BWC9	CCDC106	4492	3625	1.2392412	2.15E-03
Q969U7	PSMG2	14428	12660	1.1396528	2.15E-03
P42338	PIK3CB	1410	1847	0.7633193	2.16E-03
Q13535	ATR	2428	1975	1.2294367	2.19E-03
O60551	NMT2	4824	3709	1.3005448	2.19E-03
Q9UDR5	AASS	12870	8124	1.5841163	2.19E-03
O95786	DDX58	34815	45272	0.7690336	2.19E-03
P46019	PHKA2	21658	25046	0.8647042	2.20E-03
P10644	PRKAR1A	46443	29820	1.5574401	2.20E-03
Q9UQC2	GAB2	721	431	1.6729144	2.20E-03
O75143	ATG13	1977	2498	0.7911711	2.22E-03
O75223	GGCT	28586	24978	1.1444587	2.22E-03
Q9Y2W6	TDRKH	5291	3626	1.4591361	2.22E-03
O15440	ABCC5	16765	25916	0.646872	2.23E-03
P09417	QDPR	162215	125900	1.2884499	2.24E-03
Q8N5S9	CAMKK1	3282	10033	0.3271235	2.24E-03
Q5T5U3	ARHGAP21	16987	14610	1.1627276	2.26E-03
Q9Y6D9	MAD1L1	10940	9835	1.1123673	2.26E-03
Q8TD19	NEK9	21382	18461	1.1582181	2.27E-03
Q9BQ04	RBM4B	2034	1566	1.2989555	2.27E-03
Q8N9U0	TC2N	3941	5509	0.7152677	2.27E-03
O14733	MAP2K7	4900	4177	1.173097	2.27E-03
P15880	RPS2	202433	230124	0.8796662	2.28E-03
P30419	NMT1	42079	46363	0.9075886	2.29E-03
Q96HL8	SH3YL1	943	1574	0.5989451	2.30E-03
P11441	UBL4A	16358	18866	0.8670802	2.31E-03
P19387	POLR2C	26324	23474	1.1214366	2.31E-03
Q9NYZ1	TVP23B	3061	4488	0.6821856	2.32E-03
Q8IY67	RAVER1	18685	15648	1.1940706	2.32E-03
Q96E17	RAB3C	52361	36576	1.4315791	2.34E-03
O75844	ZMPSTE24	21315	25074	0.8500739	2.34E-03
Q9Y584	TIMM22	11910	13904	0.8565247	2.34E-03
P38606	ATP6V1A	149422	178739	0.8359797	2.34E-03
O43149	ZZEF1	28312	31988	0.8850779	2.35E-03
Q13428	TCOF1	15267	11718	1.3028461	2.35E-03
Q15034	HERC3	1066	2035	0.5236693	2.36E-03
Q8IWV2	CNTN4	1226	1829	0.6701155	2.37E-03
O94913	PCF11	6898	6204	1.1119716	2.38E-03
Q5VZM2	RRAGB	1164	893	1.3027464	2.38E-03
Q7L2J0	MEPCE	9741	7793	1.249992	2.39E-03
P55789	GFER	2182	2811	0.7763524	2.39E-03
Q68CQ4	DIEXF	3299	4075	0.8095315	2.39E-03
Q8N8J7	FAM241A	2347	3878	0.6050907	2.40E-03
Q9NP77	SSU72	13167	11407	1.1541988	2.40E-03
Q9BQ39	DDX50	16875	14475	1.1657759	2.42E-03
Q86VS8	HOOK3	6769	7810	0.8667142	2.42E-03
Q7Z3C6	ATG9A	9231	7750	1.1911273	2.43E-03
P31431	SDC4	6413	10062	0.6373594	2.45E-03
Q6SPF0	SAMD1	2348	1888	1.2434512	2.45E-03
Q99543	DNAJC2	12530	10686	1.1725493	2.45E-03
Q9UBS8	RNF14	5932	7032	0.8434763	2.48E-03
P22304	IDS	2591	1708	1.5164218	2.48E-03
P48426	PIP4K2A	10287	8453	1.2169602	2.48E-03
Q9UKV0	HDAC9	906	2191	0.4133488	2.49E-03
Q8WVV4	POF1B	6406	12327	0.51963	2.50E-03
Q9NXC2	GFOD1	4645	5921	0.7845884	2.50E-03
P51116	FXR2	10852	9635	1.1262467	2.50E-03
P50991	CCT4	173015	162447	1.0650509	2.52E-03
O43670	ZNF207	32494	28288	1.1486825	2.53E-03
Q7Z7C8	TAF8	2721	2172	1.252361	2.54E-03
Q96Q11	TRNT1	19893	21882	0.9090899	2.54E-03
Q13310	PABPC4	44906	48896	0.9183955	2.56E-03
Q3SYG4	BBS9	1563	2016	0.7753346	2.56E-03
P16444	DPEP1	26010	19946	1.3040228	2.57E-03
Q9NZN3	EHD3	13587	17860	0.7607294	2.57E-03
P26640	VARS1	77374	91566	0.8450058	2.57E-03
Q86VR2	RETREG3	8340	6698	1.2452203	2.57E-03
Q9NZN4	EHD2	25438	50331	0.5054004	2.57E-03
Q8WXE0	CASKIN2	3434	4162	0.8250735	2.59E-03
Q8NHU6	TDRD7	2809	2298	1.2226511	2.59E-03
Q6YN16	HSDL2	38299	47723	0.8025164	2.60E-03
O43264	ZW10	8641	9953	0.8681965	2.62E-03
Q9Y508	RNF114	3821	4565	0.8369634	2.64E-03
Q9NXJ5	PGPEP1	2530	2040	1.2400664	2.64E-03
Q9Y4E8	USP15	11122	12328	0.9021753	2.64E-03
Q9NUB1	ACSS1	6704	11665	0.5747353	2.65E-03
O60231	DHX16	12379	11064	1.1189134	2.66E-03
P46778	RPL21	186319	211546	0.8807529	2.66E-03
O60262	GNG7	7253	12163	0.5962732	2.66E-03
Q16850	CYP51A1	42901	34319	1.2500642	2.66E-03
Q9H9H4	VPS37B	851	1155	0.7373797	2.67E-03
O75051	PLXNA2	7692	6409	1.2002667	2.67E-03
Q96EV8	DTNBP1	1994	2594	0.7687279	2.69E-03
Q96E39	RBMXL1	11577	14298	0.8097191	2.70E-03
P21579	SYT1	7829	5180	1.5115308	2.70E-03
Q99996	AKAP9	13432	15013	0.8946883	2.72E-03
Q3KRA6	C2orf76	2094	2585	0.8101725	2.72E-03
Q9UBN7	HDAC6	12908	14169	0.9110511	2.72E-03
Q9NZ32	ACTR10	45648	39901	1.1440379	2.73E-03
Q9P2T1	GMPR2	23988	27400	0.8754525	2.73E-03
Q9NRA2	SLC17A5	5408	7301	0.7406856	2.73E-03
P46527	CDKN1B	953	1555	0.6131981	2.74E-03
O43293	DAPK3	4995	6759	0.7389456	2.75E-03
Q8N3X1	FNBP4	2429	2911	0.8343564	2.76E-03
P01031	C5	2060	1737	1.1863981	2.77E-03
Q9GZY8	MFF	10612	12010	0.8835969	2.78E-03
O15116	LSM1.00	12550	9068	1.3840596	2.80E-03
P55010	EIF5	52686	58030	0.9079017	2.80E-03
P30511	HLA-F	3043	15559	0.1955779	2.80E-03
P51956	NEK3	548	350	1.5647553	2.81E-03
P07954	FH	103903	124180	0.836714	2.82E-03
O15446	POLR1G	4246	5228	0.8122169	2.84E-03
Q14542	SLC29A2	966	646	1.4957754	2.84E-03
P35813	PPM1A	42553	47605	0.8938691	2.85E-03
O95831	AIFM1	76310	66248	1.1518785	2.86E-03
P37840	SNCA	13020	10569	1.2319237	2.89E-03
Q16134	ETFDH	74903	88979	0.8418118	2.90E-03
O75940	SMNDC1	10171	7992	1.2726846	2.91E-03
Q8N5N7	MRPL50	14594	19521	0.7476289	2.91E-03
Q9NUP9	LIN7C	37079	41944	0.8839968	2.91E-03
Q96CN7	ISOC1	41071	49919	0.8227605	2.92E-03
P08195	SLC3A2	99032	125807	0.7871769	2.92E-03
Q9GZT9	EGLN1	10807	9502	1.1373351	2.93E-03
P49848	TAF6	3570	2933	1.2172317	2.94E-03
Q9Y3D9	MRPS23	17842	21407	0.8334335	2.95E-03
Q9Y679	AUP1	14566	13034	1.1174777	2.96E-03
P58004	SESN2	4831	6177	0.7821637	2.98E-03
P01112	HRAS	13432	15716	0.85465	2.98E-03
P78332	RBM6	7471	6794	1.0997227	2.98E-03
P50579	METAP2	22297	26118	0.8536873	2.99E-03
Q6ZU65	UBN2	1588	1389	1.1429291	3.01E-03
O75191	XYLB	2297	3149	0.7295571	3.01E-03
Q9H0Q0	CYRIA	487	840	0.5803114	3.01E-03
O00115	DNASE2	6436	7999	0.8045706	3.01E-03
O43566	RGS14	2932	1801	1.6284795	3.03E-03
O60318	MCM3AP	5806	5311	1.0931248	3.03E-03
P19012	KRT15	12204	18299	0.6669616	3.05E-03
Q14676	MDC1.00	7436	9425	0.7890196	3.05E-03
Q96I51	RCC1L	9041	10354	0.8731623	3.06E-03
Q96K37	SLC35E1	4766	5829	0.8176107	3.06E-03
Q9UPN6	SCAF8	10488	8903	1.1780212	3.07E-03
P78537	BLOC1S1	8559	10201	0.8390212	3.08E-03
Q13564	NAE1	40522	36939	1.0969998	3.10E-03
Q9Y5X2	SNX8	1281	1872	0.6841448	3.11E-03
Q99633	PRPF18	2889	3295	0.8770027	3.11E-03
P27482	CALML3	740	1531	0.4832317	3.16E-03
P39023	RPL3	326806	371683	0.8792586	3.16E-03
P49773	HINT1	116743	102140	1.142964	3.18E-03
O00541	PES1.00	16797	19298	0.8703811	3.20E-03
Q9H9C1	VIPAS39	10397	9140	1.137531	3.20E-03
Q9BRK5	SDF4	20000	25077	0.7975497	3.21E-03
Q6UUV7	CRTC3	1598	2107	0.7583708	3.22E-03
Q13432	UNC119	1201	952	1.2614738	3.22E-03
P82664	MRPS10	8247	10099	0.816634	3.22E-03
O14548	COX7A2L	25354	19711	1.286284	3.22E-03
Q9BQ67	GRWD1	7343	6374	1.152083	3.23E-03
Q9H977	WDR54	10684	8767	1.218672	3.24E-03
Q10567	AP1B1	63561	73945	0.8595673	3.24E-03
Q92521	PIGB	2720	3825	0.7109138	3.24E-03
Q9HC35	EML4	37739	43227	0.8730351	3.25E-03
Q96EK6	GNPNAT1	1223	1790	0.6833998	3.25E-03
Q92734	TFG	79720	93444	0.8531259	3.25E-03
Q8WXA9	SREK1	9044	7253	1.2468645	3.27E-03
Q92930	RAB8B	10900	12783	0.8527294	3.27E-03
P62424	RPL7A	161843	201432	0.8034604	3.27E-03
Q9UJJ9	GNPTG	4656	5769	0.8070923	3.29E-03
Q8NDA8	MROH1	12352	10264	1.2034234	3.29E-03
Q13405	MRPL49	7285	9181	0.7934978	3.30E-03
Q9BTV7	CABLES2	985	570	1.7281236	3.32E-03
Q92618	ZNF516	3939	3442	1.1443697	3.34E-03
Q9Y312	AAR2	11008	9651	1.140555	3.35E-03
Q9BQB6	VKORC1	8480	11182	0.7583779	3.36E-03
Q92968	PEX13	6610	5617	1.176897	3.37E-03
Q15131	CDK10	4637	3360	1.3801455	3.39E-03
Q9P2M7	CGN	11939	14869	0.8029201	3.40E-03
Q92903	CDS1	3196	2374	1.3461254	3.40E-03
Q8TB52	FBXO30	507	785	0.6461729	3.40E-03
Q9Y2H5	PLEKHA6	29484	33474	0.8808134	3.40E-03
Q6P6B1	ERICH5	9233	12479	0.7399059	3.41E-03
P30874	SSTR2	8814	5154	1.7100573	3.41E-03
Q96SY0	INTS14	3251	2491	1.304895	3.44E-03
P48058	GRIA4	923	1478	0.624539	3.45E-03
Q9H6X2	ANTXR1	2922	2010	1.4539367	3.45E-03
Q99933	BAG1	8346	9465	0.881766	3.46E-03
Q4VC31	CCDC58	8374	6262	1.3372431	3.47E-03
P62829	RPL23	84058	93432	0.899672	3.47E-03
Q16851	UGP2	82794	102226	0.8099068	3.48E-03
O75348	ATP6V1G1	76688	97250	0.7885606	3.48E-03
Q9UK76	JPT1	3130	2569	1.2184587	3.50E-03
Q9H788	SH2D4A	749	1257	0.5962885	3.50E-03
Q96KR6	FAM210B	2549	3142	0.811149	3.50E-03
P53041	PPP5C	16348	17782	0.9193775	3.53E-03
P49841	GSK3B	35871	31455	1.1403832	3.55E-03
Q04446	GBE1	37944	44437	0.8538732	3.55E-03
Q86WR0	CCDC25	7014	5382	1.3032722	3.55E-03
Q9Y2G5	POFUT2	15939	12658	1.2592682	3.56E-03
Q8IVM0	CCDC50	11076	9012	1.2289956	3.56E-03
Q9Y263	PLAA	25542	23496	1.0870633	3.56E-03
Q9H0V9	LMAN2L	9063	7356	1.23216	3.57E-03
Q12933	TRAF2	2242	2789	0.803805	3.57E-03
Q9H098	FAM107B	1324	1905	0.694801	3.59E-03
P51991	HNRNPA3	370692	332317	1.1154768	3.59E-03
Q9P0R6	GSKIP	8285	6862	1.2074591	3.60E-03
P29320	EPHA3	36585	20391	1.7941517	3.63E-03
O43306	ADCY6	8466	4706	1.7990382	3.64E-03
Q92888	ARHGEF1	13530	11189	1.2091867	3.65E-03
Q8NCM8	DYNC2H1	4654	3979	1.1694259	3.66E-03
Q86V85	GPR180	4253	5674	0.7495574	3.66E-03
P49918	CDKN1C	1338	1789	0.7476823	3.67E-03
P62854	RPS26	76610	90825	0.843494	3.67E-03
